----------TEST-1------------
C0= 343901
C191 = 509752
C192 = 461921
C193 = 500721
C194 = 387828
C195 = 490479
C196 = 490165
C197 = 218236
C198 = 483932
C199 = 647549
C200 = 594301
C201 = 132090
C202 = 542478
C203 = 222419
C204 = 544974
C205 = 680560
C206 = 54360
C207 = 67964
C208 = 234610
C209 = 307102
C210 = 264591
C211 = 526632
C212 = 202898
C213 = 355769
C214 = 116122
C215 = 89839
C216 = 45010
C217 = 568010
C218 = 199336
C219 = 568871
C220 = 171173
C221 = 210945
C222 = 568167
C223 = 639144
C224 = 383968
C225 = 379831
C226 = 98583
C227 = 367406
C228 = 439643
C229 = 187353
C230 = 360344
C231 = 202621
C232 = 315420
C233 = 42847
C234 = 281250
C235 = 90448
C236 = 386106
C237 = 356142
C238 = 538156
C239 = 179707
C240 = 668611
C241 = 525274
C242 = 164745
C243 = 430758
C244 = 453542
C245 = 230943
C246 = 605049
C247 = 15133
C248 = 357915
C249 = 580119
C250 = 650846
C251 = 31183
C252 = 147650
C253 = 617104
C254 = 365547
C255 = 667359
C256 = 507519
C257 = 492677
C258 = 182968
C259 = 516473
C260 = 145184
C261 = 354481
C262 = 491618
C263 = 241366
C264 = 409842
C265 = 537956
C266 = 665910
C267 = 456543
C268 = 144051
C269 = 274607
C270 = 313529
C271 = 184289
C272 = 486621
C273 = 37008
C274 = 447810
C275 = 360276
C276 = 147736
C277 = 560918
C278 = 393041
C279 = 207237
C280 = 318862
C281 = 87457
C282 = 333190
C283 = 415721
C284 = 146565
C285 = 521153
C286 = 273541
C287 = 221817
C288 = 289247
C289 = 72693
C290 = 206803
C291 = 167668
C292 = 557652
C293 = 394242
C294 = 397416
C295 = 106491
C296 = 142333
C297 = 42977
C298 = 430410
C299 = 330331
C300 = 8191
C301 = 155192
C302 = 342669
C303 = 18658
C304 = 592643
C305 = 46600
C306 = 630351
C307 = 338885
C308 = 182394
C309 = 493442
C310 = 82090
C311 = 511901
C312 = 14981
C313 = 428801
C314 = 208179
C315 = 229746
C316 = 159726
C317 = 384401
C318 = 181032
C319 = 261099
C320 = 509264
C321 = 102114
C322 = 365918
C323 = 164206
C324 = 140851
C325 = 642453
C326 = 454852
C327 = 569008
C328 = 99801
C329 = 615941
C330 = 673409
C331 = 340693
C332 = 282769
C333 = 307943
C334 = 140741
C335 = 375136
C336 = 257694
C337 = 251425
C338 = 556469
C339 = 371382
C340 = 336755
C341 = 166185
C342 = 95510
C343 = 193883
C344 = 317733
C345 = 349898
C346 = 610251
C347 = 522517
C348 = 443214
C349 = 207629
C350 = 41229
C351 = 601745
C352 = 632632
C353 = 328517
C354 = 568863
C355 = 385342
C356 = 344826
C357 = 73504
C358 = 587096
C359 = 148636
C360 = 453923
C361 = 501635
C362 = 617073
C363 = 407733
C364 = 251176
C365 = 44151
C366 = 389972
C367 = 124436
C368 = 391136
C369 = 507019
C370 = 346267
C371 = 342286
C372 = 336726
C373 = 463955
C374 = 386724
C375 = 618366
C376 = 246412
C377 = 50403
C378 = 33888
C379 = 420882
C380 = 570408
C381 = 243288
C382 = 423166
C383 = 347625
C384 = 501940
C385 = 524978
C386 = 251691
C387 = 288782
C388 = 508947
C389 = 372673
C390 = 465953
C391 = 179320
C392 = 448263
C393 = 129734
C394 = 397771
C395 = 81106
C396 = 406075
C397 = 488630
C398 = 520423
C399 = 168119
C400 = 302852
C401 = 576637
C402 = 87341
C403 = 371774
C404 = 392597
C405 = 452375
C406 = 94611
C407 = 359588
C408 = 373047
C409 = 612285
C410 = 211609
C411 = 189915
C412 = 132099
C413 = 553511
C414 = 526367
C415 = 621206
C416 = 209403
C417 = 67705
C418 = 73122
C419 = 659329
C420 = 419801
C421 = 499755
C422 = 269426
C423 = 348559
C424 = 248097
C425 = 105613
C426 = 296510
C427 = 260667
C428 = 96772
C429 = 521807
C430 = 374372
C431 = 621689
C432 = 119289
C433 = 630599
C434 = 241943
C435 = 466126
C436 = 83907
C437 = 461348
C438 = 644710
C439 = 370902
C440 = 661775
C441 = 267987
C442 = 635289
C443 = 291974
C444 = 596363
C445 = 293453
C446 = 55754
C447 = 381867
C448 = 632231
C449 = 404934
C450 = 222993
C451 = 153207
C452 = 649411
C453 = 82360
C454 = 68281
C455 = 255338
C456 = 323266
C457 = 406624
C458 = 66346
C459 = 399584
C460 = 405034
C461 = 68822
C462 = 667186
C463 = 422514
C464 = 204322
C465 = 453810
C466 = 158211
C467 = 42767
C468 = 5418
C469 = 238811
C470 = 493808
C471 = 484595
C472 = 113669
C473 = 11109
C474 = 41271
C475 = 271799
C476 = 140881
C477 = 402386
C478 = 414011
C479 = 379881
C480 = 315264
C481 = 63494
C482 = 331254
C483 = 208954
C484 = 556788
C485 = 220797
C486 = 677408
C487 = 112060
C488 = 333883
C489 = 61865
C490 = 521952
C491 = 68487
C492 = 354702
C493 = 441385
C494 = 266126
C495 = 532154
C496 = 354340
C497 = 674465
C498 = 250015
C499 = 438184
C500 = 543341
C501 = 103407
C502 = 27852
C503 = 239656
C504 = 676717
C505 = 357233
C506 = 138871
C507 = 431993
C508 = 674156
C509 = 191542
C510 = 50117
C511 = 57080
C512 = 260403
C513 = 199366
C514 = 506290
C515 = 587128
C516 = 611558
C517 = 369207
C518 = 506289
C519 = 390421
C520 = 166979
C521 = 520863
C522 = 492007
C523 = 140642
C524 = 434054
C525 = 203958
C526 = 372954
C527 = 620448
C528 = 137169
C529 = 626826
C530 = 571424
C531 = 624286
C532 = 425004
C533 = 678743
C534 = 590378
C535 = 289923
C536 = 140721
C537 = 616964
C538 = 579495
C539 = 228572
C540 = 422225
C541 = 374190
